iter,err
0,93.27420101537604
1,93.25728666822899
2,93.25395971648531
3,93.25229060077076
4,93.25124289314985
5,93.2505053872223
6,93.24994592005373
7,93.24949658479463
8,93.24912223189538
9,93.24880227167048
10,93.24852449651488
11,93.24828143024568
12,93.24806691172556
13,93.24787593814912
14,93.24770294923374
15,93.24754454944531
16,93.24739750088162
17,93.2472542113882
18,93.24710841513937
19,93.24695430893091
20,93.24677996108875
21,93.24657087631583
22,93.24631101268585
23,93.24598190017325
24,93.24556458268299
25,93.24504680401903
26,93.2444330993333
27,93.24375963748135
28,93.24310070968684
29,93.24259720259931
30,93.24228640805995
31,93.24206956089643
32,93.24190940090907
33,93.24178321214741
34,93.24168183069848
35,93.24160003614902
